secFrom	langTo	prob	count	rank
4大大会ダブルス優勝	Carrière tennistique	0.14961591362953186	14	2.0
4大大会ダブルス優勝	Voir aussi	0.11362607777118683	32	3.0
4大大会ダブルス優勝	Palmarès	0.1022748053073883	61	4.0
4大大会ダブルス優勝	Biographie	0.07257236540317535	14	5.0
4大大会ダブルス成績	Palmarès	0.1166696548461914	8	1.0
4大大会優勝	Carrière	0.7167143225669861	36	1.0
4大大会優勝	Palmarès	0.635222852230072	79	2.0
4大大会優勝	Biographie	0.23332758247852325	45	3.0
4大大会優勝	Parcours en Grand Chelem (partiel)	0.20274581015110016	27	4.0
4大大会優勝	Parcours en Grand Chelem	0.18545818328857422	35	5.0
4大大会成績	Classements ATP en fin de saison	0.8824693560600281	8	1.0
4大大会成績	Parcours en Grand Chelem (partiel)	0.12284719944000244	7	2.0
4大大会成績	Carrière	0.09153539687395096	9	3.0
4大大会成績	Palmarès	0.0846657007932663	17	4.0
4大大会成績	Parcours en Coupe de la Fédération	0.051738228648900986	6	5.0
A	A	0.9873825907707214	8	1.0
A	C	0.49133357405662537	8	2.0
A	B	0.23409241437911987	8	3.0
A	F	0.11790448427200317	8	4.0
A	E	0.10592344403266907	8	5.0
AFCアジアカップ	Palmarès	0.8881197571754456	6	1.0
AFCアジアカップ	Histoire	0.20201385021209717	6	2.0
AFCアジアカップの成績	Palmarès	0.9102147221565247	27	1.0
AFCアジアカップの成績	Histoire	0.4716998338699341	29	2.0
AFCアジアカップの成績	Sélectionneurs	0.09953630715608597	15	3.0
AFCソリダリティーカップ	Histoire	0.14060118794441223	7	1.0
AFCソリダリティーカップ	Palmarès	0.09307029843330383	10	2.0
AFCチャレンジカップの成績	Sélectionneurs	0.1407717764377594	10	1.0
AFCチャレンジカップの成績	Histoire	0.09834866225719452	18	2.0
AFCチャレンジカップの成績	Palmarès	0.06936723738908768	14	3.0
AFC主催大会成績	Palmarès	0.12236185371875763	12	1.0
AFC大会での成績	Palmarès	0.43726906180381775	9	1.0
AKB48在籍時の参加楽曲	Biographie	0.022721165791153908	6	1.0
ATPツアー決勝進出結果	Palmarès	0.915486752986908	258	1.0
ATPツアー決勝進出結果	Victoires sur le top 10	0.588090181350708	81	2.0
ATPツアー決勝進出結果	Confrontations avec ses principaux adversaires	0.5485473871231079	24	3.0
ATPツアー決勝進出結果	Carrière	0.5117242336273193	186	4.0
ATPツアー決勝進出結果	Biographie	0.17949900031089783	61	5.0
B	B	0.9608041644096375	8	1.0
B	C	0.410390168428421	8	2.0
B	D	0.16964520514011383	7	3.0
B	F	0.1570909023284912	8	4.0
B	E	0.11543884128332138	8	5.0
BD / DVD	Manga	0.7143121361732483	12	1.0
BD / DVD	Anime	0.19615764915943146	17	2.0
BD / DVD	Personnages	0.1708505004644394	27	3.0
Blu-ray / DVD	Notes et références	0.46438366174697876	17	1.0
Blu-ray / DVD	Distinctions	0.34494876861572266	8	2.0
Blu-ray / DVD	Fiche technique	0.1375606507062912	17	3.0
Blu-ray / DVD	Production	0.12600591778755188	10	4.0
Blu-ray / DVD	Personnages	0.10329567641019821	8	5.0
Blu-ray/DVD	Autour du film	0.3340207636356354	8	1.0
Blu-ray/DVD	Synopsis	0.1093403771519661	11	2.0
Blu-ray/DVD	Fiche technique	0.09498865902423859	13	3.0
Blu-ray/DVD	Distribution	0.03780266270041466	13	4.0
Blu-ray・DVD	Notes et références	0.2287636399269104	9	1.0
Blu-ray・DVD	Synopsis	0.1645529419183731	10	2.0
Blu-ray・DVD	Fiche technique	0.11981403082609177	9	3.0
Blu-ray・DVD	Distribution	0.07182852178812027	9	4.0
C	C	0.9943569302558899	8	1.0
C	F	0.1570909023284912	8	2.0
C	A	0.14765824377536774	8	3.0
C	D	0.1468144953250885	7	4.0
C	E	0.12953850626945496	8	5.0
CD	Système de jeu	0.9525154232978821	9	1.0
CD	Manga	0.7111436724662781	17	2.0
CD	Discographie	0.7057364583015442	9	3.0
CD	Anime	0.5592467188835144	22	4.0
CD	Notes et références	0.46777138113975525	30	5.0
CM	Notes et références	0.42159706354141235	72	1.0
CM	Discographie	0.22360533475875854	32	2.0
CM	Références	0.2031557261943817	20	3.0
CM	Distinctions	0.18749718368053436	11	4.0
CM	Vie privée	0.1841365396976471	7	5.0
CMキャラクター	Notes et références	0.20456846058368683	6	1.0
CMソング	Notes et références	0.16828659176826477	6	1.0
CMソング	Système de jeu	0.12344634532928467	6	2.0
CM出演	Notes et références	0.1991073340177536	16	1.0
CM出演	Références	0.159884974360466	7	2.0
CM出演	Biographie	0.08185534924268723	20	3.0
CM出演	Palmarès	0.0645361840724945	14	4.0
CM出演	Carrière	0.0327257476747036	9	5.0
CONCACAFゴールドカップの成績	Parcours	0.9674838185310364	6	1.0
CONCACAFゴールドカップの成績	Résultats	0.772746741771698	25	2.0
CONCACAFゴールドカップの成績	Histoire	0.5596227049827576	31	3.0
CONCACAFゴールドカップの成績	Joueurs	0.12957026064395905	12	4.0
CONCACAFゴールドカップの成績	Sélectionneurs	0.06138162314891815	17	5.0
D	D	0.9832586050033569	7	1.0
D	C	0.4537768065929413	8	2.0
D	F	0.2127073109149933	8	3.0
D	E	0.1699470579624176	8	4.0
D	H	0.14155200123786926	7	5.0
DLC	Système de jeu	0.7878730893135071	15	1.0
DLC	Notes et références	0.49949297308921814	11	2.0
DLC	Accueil	0.18974655866622925	8	3.0
DLC	Développement	0.11466643214225769	11	4.0
DVD	Produits dérivés	0.9882107973098755	25	1.0
DVD	Autour du film	0.9353685975074768	40	2.0
DVD	Singles	0.8307849764823914	6	3.0
DVD	Liens externes	0.6174210906028748	13	4.0
DVD	Notes et références	0.540939450263977	121	5.0
DVDリリース	Synopsis	0.13364629447460175	16	1.0
DVDリリース	Fiche technique	0.1112324669957161	7	2.0
DVDリリース	Distribution	0.06377577781677246	11	3.0
DVD・BD	Distribution	0.054456621408462524	6	1.0
Definition	Définition	0.5466324090957642	7	1.0
Discography	Discographie	0.9851130247116089	7	1.0
Discography	Biographie	0.2063404619693756	7	2.0
E	E	0.9872249364852905	8	1.0
E	C	0.5088627338409424	7	2.0
E	D	0.3293750584125519	6	3.0
E	F	0.2932862341403961	8	4.0
E	G	0.24372795224189758	8	5.0
EAFF E-1フットボールチャンピオンシップの成績	Palmarès	0.9325954914093018	6	1.0
Examples	Exemples	0.12304214388132095	10	1.0
Examples	Définition	0.09000324457883835	8	2.0
External links	Notes et références	0.990818440914154	7	1.0
F	F	0.9884520173072815	9	1.0
F	C	0.3723127543926239	8	2.0
